"Title","Year","Type","Description","Link","KTS","LifeCourse","Tag1","Tag2","Tag3","Tag4"
"Drug and Alcohol Recovery Projects in Derbyshire",NA,"Link","Overcoming an alcohol problem can sometimes need more than traditional treatment services. There are several charities and organisations in Derbyshire offering support for people who are in recovery from alcohol problems.","https://www.growingrecoveryinderbyshire.co.uk/recovery-projects","Alcohol","Stay Well",NA,NA,NA,NA
"Derby and Derbyshire Emotional Health and Wellbeing website",NA,"Link","Derby and Derbyshire Emotional Health and Wellbeing website","https://derbyandderbyshireemotionalhealthandwellbeing.uk/","AMH","Stay Well","CSEMH","LGBTQ","Perinatal MH",NA
"Derby and Derbyshire Mental Health Pathway Guidance",NA,"Link","Derby and Derbyshire Mental Health Pathway Guidance","https://derbyandderbyshireemotionalhealthandwellbeing.uk/professionals/whole-school-approach/children-young-people-mental-health-pathway","AMH","Stay Well","CSEMH","Perinatal MH",NA,NA
"Joined Up Care Derbyshire Children’s Mental Health and Wellbeing",NA,"Link","Joined Up Care Derbyshire Children’s Mental Health and Wellbeing","https://joinedupcarederbyshire.co.uk/your-services/children-and-young-people/children-young-people-mental-health-wellbeing/","AMH","Stay Well","CSEMH","Perinatal MH",NA,NA
"A Health Equity Audit of the Improving Access to Psychological Therapy (IAPT) services in Derbyshire","2014","HEA","The aim of this Health Equity Audit (HEA) is to determine the equity of access to, and outcome from, the Improving Access to Psychological Therapies (IAPT) services in Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports//documents/health/disease_and_long_term_conditions/mental_health/IAPT_HEA_report_feb2015.pdf","AMH","Stay Well","Mental Health","Loneliness",NA,NA
"The State of Mental Health in Derbyshire","2015","Report","This report summarises information on the state of mental health and wellbeing in Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports//documents/health/disease_and_long_term_conditions/mental_health/SO_Mental_Health_Derbyshire_2015.pdf","AMH","Stay Well","CSEMH","Mental Health","Disability Unemployment","Perinatal MH"
"Director of Public Health Annual Report 2023","2023","Report","Director of Public Health Annual Report 2023","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2023/DPH_Annual_Report_2023.pdf","AMH","Stay Well","CSEMH","Mental Health","Perinatal MH",NA
"A strategic needs assessment of the mental health of Black people and Deaf people in Derby and Derbyshire","2023","HNA","The information analysis and engagement in this needs assessment have
highlighted inequities in the way Black people and Deaf people access and
experience mental health care and support in Derby and Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2023/JUCD_mental_health_needs_assessment_2023.pdf","AMH","Stay Well","Mental Health","Ethnicity",NA,NA
"Respiratory Health in Derby and Derbyshire - Asthma and Lung UK",NA,"Link","Respiratory Health in Derby and Derbyshire - Asthma and Lung UK","https://www.asthmaandlung.org.uk/sites/default/files/Respiratory%20Health%20in%20Derby%20and%20Derbyshire.pdf","Asthma","Age Well",NA,NA,NA,NA
"Chief Medical Officer's Annual Report 2022: air pollution","2022","Link","The 2022 Chief Medical Officer's report lays out the challenge of reducing air pollution, the progress that has been made and highlights solutions.","https://www.gov.uk/government/publications/chief-medical-officers-annual-report-2022-air-pollution","Asthma","Stay Well",NA,NA,NA,NA
"Autism: Derbyshire Health and Social Care Needs Assessment for Adults with Autism Spectrum Disorder 2011","2011","HNA","This document aims to identify the health and social care needs of people with Autism Spectrum Disorder (ASD) in Derbyshire, identify if the services match need and to assist the decision making process of commissioning managers.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2011/Derbyshire_Adults_ASD_Health_%20Social_Care_Needs_Assessment_Aug2011.pdf","Autism","Stay Well","Neurodiversity","SEND",NA,NA
"Breastfeeding Infographic 2021/22","2022","Report","An infographic summarising breastfeeding in Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/children_and_younger_people/breastfeeding/Breastfeeding%20in%20Derbyshire%20Infographic%202021-22%20v2.0.pdf","Breastfeeding","Start Well","CYP",NA,NA,NA
"Active Derbyshire Making Our Move",NA,"Link","Derbyshire Sport/Active Derbyshire Making Our Move: If you would like some help to get more movement into your daily life, then you will find local opportunities in Making Our Move website’s activity finder. This can help identify local physical activity opportunities on your doorstep (Nottinghamshire and Derbyshire)","https://makingourmove.org.uk/move-more/getting-started/","Cancer","Age Well","CVD","Diabetes","Cholesterol",NA
"Cancer Prevention Factsheet",NA,"Link","Cancer Prevention factsheet - Derbyshire","https://observatory.derbyshire.gov.uk/wp-content/uploads/2019/07/Cancer-Prevention-Factsheet-Derbyshire-Oct-18.pdf","Cancer","Age Well",NA,NA,NA,NA
"Preventable cancers infographic",NA,"Link","Preventable cancers in Derbyshire infographic","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/disease_and_long_term_conditions/cancer/Cancer_in_Derbyshire_infographic_V3.1.pdf","Cancer","Age Well",NA,NA,NA,NA
"Derbyshire NHS Bowel Cancer Screening Programme","2018","HEA","Health Equity Audit for Derbyshire NHS Bowel Cancer Screening Programme","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/disease_and_long_term_conditions/cancer/Derbyshire_NHS_bowel_cancer_screening_programme_health_equity_audit_2018.pdf","Cancer","Stay Well","Bowel Cancer",NA,NA,NA
"Achieving world-class cancer outcomes strategy","2015","Strategy","Achieving world-class cancer outcomes: a strategy for England 2015-2020: Summary","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/disease_and_long_term_conditions/cancer/Scope_Appendix1_National_Cancer_Strategy_Summary.pdf","Cancer","Stay Well",NA,NA,NA,NA
"Achieving world-class cancer outcomes strategy: On a page","2015","Strategy","Achieving world-class cancer outcomes: a strategy for England 2015-2020: On a page","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/disease_and_long_term_conditions/cancer/Scope_Appendix2_National_Cancer_Strategy_on_a_Page.pdf","Cancer","Stay Well",NA,NA,NA,NA
"Cancer Research UK - Local statistics for Derbyshire",NA,"Link","Cancer Research UK - Local cancer statistics for Derbyshire","https://www.cancerresearchuk.org/cancer-info/cancerstats/local-cancer-statistics/results?search=Derbyshire","Cancer","Age Well",NA,NA,NA,NA
"NHS Health Check",NA,"Link","NHS Health Check - Live Life Better Derbyshire - You are eligible for a free NHS Health Check every five years if you are aged between 40 and 74 and not already being treated for certain long term conditions.","https://www.livelifebetterderbyshire.org.uk/latest-news/nhs-health-check.aspx","Cancer","Age Well","CVD","Diabetes","Cholesterol",NA
"Live Life Better Derbyshire",NA,"Link","Live Life Better Derbyshire - This free service provides help and advice to increase physical activity, quit smoking, and lose weight.","https://www.livelifebetterderbyshire.org.uk/services/services.aspx","Cancer","Age Well","CVD","Diabetes","Cholesterol",NA
"NHS Bowel cancer screening",NA,"Link","NHS Bowel cancer screening - NHS bowel cancer screening is available to everyone aged 60 to 74 years.","https://www.nhs.uk/conditions/bowel-cancer-screening/","Cancer","Age Well",NA,NA,NA,NA
"NHS Breast screening (mammogram) ",NA,"Link","NHS Breast screening (mammogram) - Anyone registered with a GP as female will be invited for NHS breast screening every 3 years between the ages of 50 and 71.","https://www.nhs.uk/conditions/breast-screening-mammogram/","Cancer","Age Well",NA,NA,NA,NA
"NHS Cervical screening",NA,"Link","NHS Cervical screening - Also known as a smear test, cervical screening checks the health of the cervix. It is offered to women and people with a cervix aged 25 to 64.","https://www.nhs.uk/conditions/cervical-screening/","Cancer","Age Well",NA,NA,NA,NA
"Carers' Voice: High Peak Consultation Project","2023","Link","Derbyshire Carers Association report on the High Peak Consultation Project 2023.","https://derbyshirecarers.co.uk/uploads/Carers'%20Voice%20High%20Peak%20Consultation%20Project%20Report%20(2).pdf","Carers","Stay Well",NA,NA,NA,NA
"Derbyshire Diverse Carers","2024","Link","The unheard voices of Derbyshire Diverse Carers report 2024","https://derbyshirecarers.co.uk/uploads/Derbyshire_Diverse_Carers_Report%202.pdf","Carers","Stay Well",NA,NA,NA,NA
"Personal Social Services Survey of Adult Carers in England, 2021-22","2022","Link","NHS Digital report on the Personal Social Services Survey of Adult Carers in England, 2021-22.","https://digital.nhs.uk/data-and-information/publications/statistical/personal-social-services-survey-of-adult-carers/england-2021-22","Carers","Stay Well",NA,NA,NA,NA
"Carers (caring for someone aged 18 or over) benefitting from respite or other forms of carer support delivered to the cared-for person for the benefit of their carer, per 100,000 population (in-year) in England","2024","Link","LG Inform report. Carers (caring for someone aged 18 or over) benefitting from respite or other forms of carer support delivered to the cared-for person for the benefit of their carer, per 100,000 population (in-year) in England, 2024","https://lginform.local.gov.uk/reports/lgastandard?mod-area=E92000001&mod-group=AllRegions_England&mod-metric=3587&mod-type=namedComparisonGroup","Carers","Stay Well",NA,NA,NA,NA
"Carers in Derbyshire 2017","2018","Report","This infographic gives a summary of the Carers’ survey carried out by Derbyshire County Council in 2017.
The infographic is published for carers and social care staff.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2018/Carers_Infographic_2017_18.pdf","Carers","Stay Well",NA,NA,NA,NA
"Survey of Adult Carers (SACE) Report 2018","2019","Report","This report provides analysis of the Carers’ survey carried out by Derbyshire County Council in 2018.
The report is published for carers and social care staff.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2019/SACE_FinalReport1819.pdf","Carers","Stay Well",NA,NA,NA,NA
"Survey of Adult Carers (SACE) Infographic 2018","2019","Report","This infographic gives a summary of the Carers’ survey carried out by Derbyshire County Council in 2018.
The infographic is published for carers and social care staff.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2019/SACE_Infographic1819.pdf","Carers","Stay Well",NA,NA,NA,NA
"ASCS 2021/22 Main Findings for Derbyshire Report","2022","Report","The Adult Social Care Survey in England 2021/22 Report summarises the findings for Derbyshire in comparison with similar local authorities, the East Midlands region and England.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2022/Adult_Social_Care_Main_Findings_2021_22_v6.pdf","Carers","Stay Well",NA,NA,NA,NA
"ASCS 2021/22 Main Findings for Derbyshire Infographic","2022","Report","The Adult Social Care Survey in England 2021/22 infographic summarises the findings for Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2022/ASCS_2021_22_Results_infographic.pdf","Carers","Stay Well",NA,NA,NA,NA
"SACE 2021/22 Main Findings for Derbyshire Infographic","2022","Report","The Survey of Adult Carers in England 2021/22 infographic summarises the findings for Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2022/Carers_Infographic_SACE_2021_22.pdf","Carers","Stay Well",NA,NA,NA,NA
"SACE 2021/22 Main Findings for Derbyshire Report","2022","Report","The Survey of Adult Carers in England 2021/22 Report summarises the findings for Derbyshire in comparison with similar local authorities, the East Midlands region and England.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2022/SACE_2021_22_Main_Findings_Report_v6.pdf","Carers","Stay Well",NA,NA,NA,NA
"Derbyshire Carers Strategy","2022","Strategy","A commissioning strategy for Derbyshire 2020-2025, 2022 refresh","https://www.derbyshire.gov.uk/site-elements/documents/pdf/social-health/adult-care-and-wellbeing/caring-for-someone/derbyshire-carers-strategy-2020-to-2025.pdf","Carers","Age Well","Carers",NA,NA,NA
"NICE Quality Standard | Supporting adult carers.","2021","Link","NICE Quality Standard for supporting adult carers, 2021","https://www.nice.org.uk/guidance/qs200","Carers","Stay Well",NA,NA,NA,NA
"Caring as a social determinant of health","2021","Link","Findings from a rapid review of reviews and analysis of the GP Patient Survey","https://assets.publishing.service.gov.uk/media/60547266d3bf7f2f14694965/Caring_as_a_social_determinant_report.pdf","Carers","Stay Well",NA,NA,NA,NA
"NIHR Online advice to carers",NA,"Link","National Institute for Health Research online advice to carers: an updated review of local authority websites in England. Research findings.","https://www.sscr.nihr.ac.uk/wp-content/uploads/SSCR-research-findings_RF163.pdf","Carers","Stay Well",NA,NA,NA,NA
"The economics of caring","2017","Link","The Strategy Unit scoping study: the economics of caring, 2017.","https://www.strategyunitwm.nhs.uk/publications/scoping-study-economics-caring","Carers","Stay Well",NA,NA,NA,NA
"Understanding unpaid carers and their access to support","2023","Link","The Health Foundation. Understanding unpaid carers and their access to support, 2023.","https://www.health.org.uk/publications/long-reads/understanding-unpaid-carers-and-their-access-to-support?utm_campaign=13875666_NDL%20unpaid%20carers%20long%20chart%20%20Apr%2023%20%20WARM&utm_medium=email&utm_source=The%20Health%20Foundation&dm_i=4Y2,89EJ6,8ZG2SJ,XXQ5X,1","Carers","Stay Well",NA,NA,NA,NA
"A Crisis of Caregiving Podcast","2023","Link","New Economics Podcast - A crisis of caregiving, 2023","https://neweconomics.org/2023/05/new-economics-podcast-a-crisis-of-caregiving?link_id=12&can_id=12fde423fbfc18f2353fcd87ccc382fb&source=email-news-from-nef-energy-guarantee-social-housing-eu-austerity&email_referrer=email_1938878&email_subject=news-from-nef-rich-list-cost-of-living-airport-lobbying","Carers","Stay Well",NA,NA,NA,NA
"Adult Carer Survey Report 2023","2023","Link","Carers Trust report on the adult carer survey in the UK.","https://carers.org/campaigning-for-change/adult-carer-survey-report-2023","Carers","Stay Well",NA,NA,NA,NA
"Chief Medical Officer's Annual Report 2023: Health in an Ageing Society","2023","Report","The 2023 Chief Medical Officer's Report focused on health in an ageing society. Derbyshire County Council contributed to the 2023 report.","https://assets.publishing.service.gov.uk/media/6674096b64e554df3bd0dbc6/chief-medical-officers-annual-report-2023-web-accessible.pdf","Carers","Age Well","Falls","Frailty","Dementia",NA
"Falling short: How far have we come in improving support for unpaid carers in England?","2022","Link","Report from the Nuffield Trust 2022 on how support for unpaid carers has changed in England","https://www.nuffieldtrust.org.uk/research/falling-short-how-far-have-we-come-in-improving-support-for-unpaid-carers-in-england","Carers","Stay Well",NA,NA,NA,NA
"DCC Carers in the workplace",NA,"Link","Healthy workplaces Derbyshire - carers in the workplace","https://www.derbyshire.gov.uk/business/healthy-workplaces/carers-in-the-workplace/carers-in-the-workplace.aspx","Carers","Stay Well","Loneliness",NA,NA,NA
"Adult inpatient survey 2023","2023","Link","This survey looks at the experiences of people who stayed at least one night in hospital as an inpatient, including the experiences of carers.","https://www.cqc.org.uk/publications/surveys/adult-inpatient-survey","Carers","Stay Well",NA,NA,NA,NA
"GP Patient Survey 2024","2024","Link","This annual survey conducted in England contains data on health and wellbeing as well as experiences at GPs. Results for carers can be compared against all respondents and can be broken down by CCG as well as for individual GP practices.","https://www.gp-patient.co.uk/surveysandreports","Carers","Stay Well",NA,NA,NA,NA
"Chat Health",NA,"Link","This is a confidential text messaging service for young people, providing advice and support from healthcare professionals","https://chathealth.nhs.uk/","Chlamydia","Stay Well","Sexual Health","YP Sexual Health",NA,NA
"SH:24",NA,"Link","Online STI testing provider. Individuals in Derby and Derbyshire can request a Chlamydia test to be sent to an address in the post and send it back free of charge to receive the result.","https://sh24.org.uk/","Chlamydia","Stay Well","Sexual Health","YP Sexual Health",NA,NA
"Derby and Derbyshire Sexual health service",NA,"Link","Relationships and Sexual Health Advice, Free STI testing, contraception, PrEP and PEP. Email: dchst.yoursexualhealthmatters@nhs.net Tel: 0800 328 3383","www.yoursexualhealthmatters.org.uk","Chlamydia","Stay Well","Sexual Health","YP Sexual Health","LGBTQ",NA
"Derbyshire Community Health Service school nursing service",NA,"Link","The school nursing service works in partnership with children, young people and their families to ensure that children’s health needs are supported within their school and their community.","https://dchs.nhs.uk/our-services-and-locations/a-z-list-of-services/childrens-services/5-19-years-school-nursing-service","CHW","Start Well",NA,NA,NA,NA
"Childhood obesity: Time for action in Derby and Derbyshire 2020-2030","2020","Report","Ten year plan 2020-2030 for childhood obesity in Derby and Derbyshire","https://democracy.derby.gov.uk/Document.ashx?czJKcaeAi5tUFL1DTL2UE4zNRBcoShgo=ewLeWvpBchV6LoEgYxgb45Tocg3321FiDONDfFtLXtlFhJ1Mzq7Aqg%3D%3D&rUzwRPf%2BZ3zd4E7Ikn8Lyw%3D%3D=pwRE6AGJFLDNlh225F5QMaQWCtPHwdhUfCZ%2FLUQzgA2uL5jNRG4jdQ%3D%3D&mCTIbCubSFfXsDGW9IXnlg%3D%3D=hFflUdN3100%3D&kCx1AnS9%2FpWZQ40DXFvdEw%3D%3D=hFflUdN3100%3D&uJovDxwdjMPoYv%2BAJvYtyA%3D%3D=ctNJFf55vVA%3D&FgPlIEJYlotS%2BYGoBi5olA%3D%3D=NHdURQburHA%3D&d9Qjj0ag1Pd993jsyOJqFvmyB7X0CSQK=ctNJFf55vVA%3D&WGewmoAfeNR9xqBux0r1Q8Za60lavYmz=ctNJFf55vVA%3D&WGewmoAfeNQ16B2MHuCpMRKZMwaG1PaO=ctNJFf55vVA%3D","CHW","Start Well",NA,NA,NA,NA
"Health, exercise and nutrition for the really young (HENRY)",NA,"Link","The HENRY intervention supports parents and carers to give their child a healthy, happy start in life.","https://www.derbyshire.gov.uk/social-health/health-and-wellbeing/your-health/children-and-young-peoples-health/henry/health-exercise-and-nutrition-for-the-really-young-henry.aspx","CHW","Start Well",NA,NA,NA,NA
"Health visiting in Derbyshire",NA,"Link","Derbyshire Healthcare NHS health visiting (0 to 5 years)","https://www.derbyshirehealthcareft.nhs.uk/services/family-health-derby-city/health-visiting-0-5-years","CHW","Start Well",NA,NA,NA,NA
"Complications from Excess Weight (CEW) clinics for children",NA,"Link","NHS England CEW clinics holistically treat conditions related to obesity in children and young people.","https://www.england.nhs.uk/get-involved/cyp/specialist-clinics-for-children-and-young-people-living-with-obesity/","CHW","Start Well",NA,NA,NA,NA
"Childhood obesity: applying All Our Health 2022","2022","Link","OHID guidance","https://www.gov.uk/government/publications/childhood-obesity-applying-all-our-health/childhood-obesity-applying-all-our-health","CHW","Start Well",NA,NA,NA,NA
"Healthier Futures, Live Life Better Derbyshire",NA,"Link","A free programme that offers support for parents and carers of children aged 0 to 12 years old.","https://www.livelifebetterderbyshire.org.uk/services/family-health/healthier-futures.aspx","CHW","Start Well",NA,NA,NA,NA
"National Child Measurement Programme (NCMP)",NA,"Link","This programme measures the height and weight of around one million school children in England every year.","https://www.livelifebetterderbyshire.org.uk/services/family-health/national-child-measurement-programme.aspx","CHW","Start Well",NA,NA,NA,NA
"Heatwave Adaptation for Local Authorities Evidence Map","2023","Report","The focus of this evidence map was to identify documents which either entirely, or in part, are
informative to Local Authorities for their management of heatwaves.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2023/Heat_Wave_Adaptation_Evidence_Map_2023.pdf","Climate","All",NA,NA,NA,NA
"Respiratory disease: applying All Our Health - gov.uk",NA,"Link","Respiratory disease: applying All Our Health - gov.uk","https://www.gov.uk/government/publications/respiratory-disease-applying-all-our-health/respiratory-disease-applying-all-our-health","COPD","Age Well",NA,NA,NA,NA
"Chronic obstructive pulmonary disease (COPD) - causes - NHS",NA,"Link","Chronic obstructive pulmonary disease (COPD) - causes - NHS","https://www.nhs.uk/conditions/chronic-obstructive-pulmonary-disease-copd/causes/","COPD","Age Well",NA,NA,NA,NA
"Chronic obstructive pulmonary disease (COPD) - symptoms - NHS",NA,"Link","Chronic obstructive pulmonary disease (COPD) - symptoms - NHS","https://www.nhs.uk/conditions/chronic-obstructive-pulmonary-disease-copd/symptoms/","COPD","Age Well",NA,NA,NA,NA
"My Life My View survey results","2023","Report","A summary of the My Life My View survey results 2023","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/children_and_younger_people/my_life_my_view_2023.pdf","CSEMH","Start Well","Physical Activity","LGBTQ","YP Sexual Health","Loneliness"
"NHS Health Check HEA - Report 1: Equity Profile","2015","HEA","This is a HEA of the NHS health check programme in Derbyshire County","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2015/Health_Equity_Profile_Report_v1.4.pdf","CVD","Stay Well","Cholesterol","Hypertension",NA,NA
"Cardiovascular Disease Health Needs Assessment","2019","HNA","This health needs assessment looks at eight key cardiovascular or related conditions, their incidence or prevalence in Derbyshire, how they are managed in primary and/or secondary care and if there are any notable opportunities to improve the cardiovascular health of the people of Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2019/CVD_HNA_FINAL20191120.pdf","CVD","Age Well","Cholesterol","Hypertension",NA,NA
"Cardiovascular Disease Prevention Health Needs Assessment, Derby and Derbyshire, May 2024","2024","HNA","A Health Needs Assessment for cardiovascular disease in Derby City and Derbyshire.","https://jsnaderbyshire.org.uk/redirects/cvd_needs_assessment.html","CVD","Stay Well","Cholesterol","Hypertension",NA,NA
"Child Neglect - a review of the literature","2017","Report","This paper aims to review the evidence surrounding aspects of the recently developed DSCB Child Neglect strategy, including the recognising a neglected child, prevention of child neglect and effective interventions in child neglect.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/children_and_younger_people/Child_Neglect_Review2017.pdf","CYP","Start Well","Domestic Abuse",NA,NA,NA
